region,year,deaths_total,deaths_100K
city_A,2018,484.4637110198445,0.004844637110198445
city_A,2019,351.0713557500834,0.0035107135575008336
city_A,2020,49.54320670457288,4.954320670457289e-4
city_B,2018,892.4548647903605,0.008924548647903605
city_B,2019,1170.5340406948712,0.011705340406948712
city_B,2020,143.27521458672229,0.0014327521458672226
city_C,2018,377.25848724974486,0.0037725848724974487
city_C,2019,505.7639897875479,0.00505763989787548
city_C,2020,100.59420207281885,0.0010059420207281884
city_D,2018,383.80219027940547,0.0038380219027940544
city_D,2019,512.9801743346057,0.005129801743346057
city_D,2020,78.92757910600476,7.892757910600475e-4
city_E,2018,613.9851663892725,0.006139851663892725
city_E,2019,527.9171887800735,0.005279171887800736
city_E,2020,93.96428913947355,9.396428913947356e-4
